123456
 Score: 625246.27  Generations: 2121
 Score: 625149.23  Generations: 1696
 Score: 625505.6  Generations: 678
 Score: 625385.83  Generations: 523
 Score: 625067.18  Generations: 754
 Score: 625221.55  Generations: 393
 Score: 625267.63  Generations: 302
 Score: 625439.62  Generations: 267
 Score: 625220.45  Generations: 237
 Score: 625312.74  Generations: 207
 Score: 625015.41  Generations: 190
 Score: 625032.34  Generations: 177
 Score: 625525.16  Generations: 162
 Score: 625181.5  Generations: 151
 Score: 625145.95  Generations: 139
 Score: 624963.75  Generations: 236
 Score: 625119.77  Generations: 125
 Score: 625158.96  Generations: 117
 Score: 625185.67  Generations: 161
 Score: 625058.4  Generations: 143
212392
 Score: 625243.5  Generations: 3576
 Score: 625245.8  Generations: 1027
 Score: 625192.0  Generations: 669
 Score: 625396.32  Generations: 549
 Score: 625446.86  Generations: 435
 Score: 625107.81  Generations: 612
 Score: 625191.99  Generations: 305
 Score: 625238.49  Generations: 266
 Score: 625274.43  Generations: 235
 Score: 625488.96  Generations: 209
 Score: 625154.52  Generations: 218
 Score: 625185.36  Generations: 262
 Score: 625178.96  Generations: 159
 Score: 625519.08  Generations: 200
 Score: 625387.35  Generations: 135
 Score: 625290.02  Generations: 156
 Score: 625326.31  Generations: 127
 Score: 625315.66  Generations: 117
 Score: 625113.26  Generations: 111
 Score: 624994.71  Generations: 153
310293
 Score: 625298.24  Generations: 2072
 Score: 625290.29  Generations: 1011
 Score: 625083.21  Generations: 679
 Score: 625154.17  Generations: 541
 Score: 625378.62  Generations: 750
 Score: 625169.69  Generations: 508
 Score: 625108.16  Generations: 400
 Score: 625279.25  Generations: 266
 Score: 625264.56  Generations: 232
 Score: 625256.52  Generations: 215
 Score: 625297.6  Generations: 191
 Score: 625284.01  Generations: 179
 Score: 625061.2  Generations: 289
 Score: 625101.25  Generations: 261
 Score: 625182.21  Generations: 139
 Score: 625223.54  Generations: 133
 Score: 625152.36  Generations: 124
 Score: 625225.56  Generations: 116
 Score: 625294.99  Generations: 112
 Score: 625125.13  Generations: 106
429312
 Score: 625468.0  Generations: 2069
 Score: 625073.95  Generations: 1058
 Score: 625277.05  Generations: 674
 Score: 625246.16  Generations: 542
 Score: 625157.86  Generations: 765
 Score: 625194.87  Generations: 617
 Score: 625305.59  Generations: 299
 Score: 625177.47  Generations: 270
 Score: 625142.7  Generations: 235
 Score: 625375.21  Generations: 213
 Score: 625093.86  Generations: 193
 Score: 625195.47  Generations: 182
 Score: 625197.92  Generations: 163
 Score: 625336.1  Generations: 194
 Score: 624962.16  Generations: 200
 Score: 625237.87  Generations: 182
 Score: 625205.93  Generations: 128
 Score: 625004.26  Generations: 173
 Score: 625281.81  Generations: 110
 Score: 625055.64  Generations: 107
523123
 Score: 625066.05  Generations: 2820
 Score: 625103.69  Generations: 1031
 Score: 625039.94  Generations: 685
 Score: 625297.69  Generations: 553
 Score: 625116.88  Generations: 592
 Score: 625391.06  Generations: 496
 Score: 625124.89  Generations: 410
 Score: 625109.98  Generations: 275
 Score: 625265.4  Generations: 247
 Score: 625225.78  Generations: 214
 Score: 625269.77  Generations: 188
 Score: 625448.3  Generations: 176
 Score: 625055.24  Generations: 161
 Score: 625112.36  Generations: 149
 Score: 625052.52  Generations: 137
 Score: 625237.91  Generations: 133
 Score: 625071.38  Generations: 124
 Score: 625257.98  Generations: 118
 Score: 625224.25  Generations: 198
 Score: 625134.5  Generations: 188
