123456
 Score: 625196.51  Generations: 103
 Score: 625406.55  Generations: 75
 Score: 625360.5  Generations: 59
 Score: 625424.49  Generations: 47
 Score: 625489.21  Generations: 51
 Score: 625417.25  Generations: 42
 Score: 625387.87  Generations: 33
 Score: 625642.8  Generations: 30
 Score: 625234.86  Generations: 25
 Score: 625612.12  Generations: 25
 Score: 625678.91  Generations: 32
 Score: 625491.95  Generations: 26
 Score: 625461.88  Generations: 33
 Score: 625785.04  Generations: 18
 Score: 625485.49  Generations: 18
112930
 Score: 625282.12  Generations: 464
 Score: 625579.29  Generations: 244
 Score: 625431.65  Generations: 154
 Score: 625517.92  Generations: 201
 Score: 625274.87  Generations: 147
 Score: 625584.71  Generations: 79
 Score: 625703.95  Generations: 64
 Score: 625503.95  Generations: 57
 Score: 625340.01  Generations: 47
 Score: 625658.81  Generations: 42
 Score: 625296.52  Generations: 37
 Score: 625713.12  Generations: 45
 Score: 625657.85  Generations: 39
 Score: 625663.64  Generations: 30
 Score: 625322.57  Generations: 26
 Score: 625381.09  Generations: 22
 Score: 625470.21  Generations: 24
 Score: 625552.04  Generations: 19
 Score: 625558.11  Generations: 27
 Score: 625715.19  Generations: 21
123290
 Score: 625452.03  Generations: 601
 Score: 625759.73  Generations: 298
 Score: 625317.6  Generations: 150
 Score: 625147.61  Generations: 112
 Score: 625568.91  Generations: 120
 Score: 625514.23  Generations: 79
 Score: 625286.45  Generations: 61
 Score: 625463.7  Generations: 64
 Score: 625635.26  Generations: 50
 Score: 625476.75  Generations: 45
 Score: 625600.66  Generations: 36
 Score: 625652.48  Generations: 34
 Score: 625296.27  Generations: 46
 Score: 625700.47  Generations: 28
 Score: 625561.62  Generations: 24
 Score: 625414.22  Generations: 30
 Score: 625440.03  Generations: 24
 Score: 625537.53  Generations: 21
 Score: 625522.17  Generations: 31
 Score: 625830.76  Generations: 16
139248
 Score: 625361.8  Generations: 505
 Score: 625502.64  Generations: 369
 Score: 625224.77  Generations: 147
 Score: 625572.46  Generations: 153
 Score: 625444.92  Generations: 109
 Score: 625605.5  Generations: 73
 Score: 625197.98  Generations: 74
 Score: 625066.44  Generations: 72
 Score: 625109.17  Generations: 48
 Score: 625224.56  Generations: 42
 Score: 625543.12  Generations: 36
 Score: 625274.67  Generations: 39
 Score: 625456.16  Generations: 36
 Score: 625681.5  Generations: 35
 Score: 625332.69  Generations: 33
 Score: 625587.41  Generations: 23
 Score: 625650.07  Generations: 27
 Score: 625431.56  Generations: 25
 Score: 625502.44  Generations: 27
 Score: 625641.65  Generations: 18
149302
 Score: 625751.76  Generations: 520
 Score: 625387.23  Generations: 226
 Score: 625468.67  Generations: 189
 Score: 625488.62  Generations: 169
 Score: 625311.14  Generations: 103
 Score: 625613.86  Generations: 78
 Score: 625577.76  Generations: 63
 Score: 625020.86  Generations: 57
 Score: 625324.23  Generations: 64
 Score: 625376.05  Generations: 53
 Score: 625650.83  Generations: 37
 Score: 625289.01  Generations: 38
 Score: 625260.56  Generations: 30
 Score: 625728.01  Generations: 28
 Score: 625557.19  Generations: 27
 Score: 625258.79  Generations: 42
 Score: 625522.22  Generations: 25
 Score: 625386.68  Generations: 33
 Score: 625393.73  Generations: 20
 Score: 625343.84  Generations: 16
159320
 Score: 625441.86  Generations: 451
 Score: 625337.45  Generations: 234
 Score: 625202.78  Generations: 158
 Score: 625645.73  Generations: 187
 Score: 625224.72  Generations: 127
 Score: 625452.48  Generations: 71
 Score: 625099.7  Generations: 68
 Score: 625378.96  Generations: 57
 Score: 625196.73  Generations: 56
 Score: 625546.22  Generations: 44
 Score: 625339.23  Generations: 39
 Score: 625658.1  Generations: 32
 Score: 625444.05  Generations: 34
 Score: 625471.08  Generations: 28
 Score: 625142.95  Generations: 28
 Score: 625438.86  Generations: 43
 Score: 625490.71  Generations: 21
 Score: 625429.48  Generations: 20
 Score: 625398.49  Generations: 24
 Score: 625644.03  Generations: 28
