123456
 Score: 157062.02  Generations: 384
 Score: 157265.01  Generations: 412
 Score: 157081.6  Generations: 435
 Score: 157140.71  Generations: 457
 Score: 157217.6  Generations: 885
 Score: 157199.08  Generations: 929
 Score: 157203.75  Generations: 565
 Score: 156967.08  Generations: 602
 Score: 157092.18  Generations: 658
 Score: 157136.92  Generations: 717
 Score: 157263.71  Generations: 792
 Score: 157208.09  Generations: 1668
 Score: 157196.68  Generations: 1053
 Score: 157147.18  Generations: 1200
 Score: 157069.68  Generations: 1403
 Score: 157072.19  Generations: 1775
 Score: 157284.22  Generations: 4052
 Score: 156994.9  Generations: 3420
 Score: 157164.12  Generations: 5949
 Score: 158326.96  Generations: 32748
212392
 Score: 157250.85  Generations: 394
 Score: 157261.66  Generations: 407
 Score: 157181.78  Generations: 431
 Score: 157141.73  Generations: 744
 Score: 157122.21  Generations: 580
 Score: 157243.84  Generations: 616
 Score: 157221.71  Generations: 919
 Score: 157120.85  Generations: 600
 Score: 157056.81  Generations: 664
 Score: 157086.72  Generations: 735
 Score: 157337.3  Generations: 795
 Score: 157008.14  Generations: 1664
 Score: 157065.08  Generations: 999
 Score: 157077.27  Generations: 2225
 Score: 157070.13  Generations: 1405
 Score: 156649.5  Generations: 1786
 Score: 156892.44  Generations: 2327
 Score: 157256.41  Generations: 3303
 Score: 156944.89  Generations: 5916
 Score: 157839.82  Generations: 33008
310293
 Score: 156953.54  Generations: 383
 Score: 157112.79  Generations: 402
 Score: 157145.39  Generations: 434
 Score: 157316.95  Generations: 525
 Score: 157011.01  Generations: 495
 Score: 157073.94  Generations: 612
 Score: 157240.79  Generations: 559
 Score: 157096.56  Generations: 964
 Score: 156903.71  Generations: 661
 Score: 157237.08  Generations: 1182
 Score: 157079.64  Generations: 797
 Score: 157050.51  Generations: 885
 Score: 157172.85  Generations: 1331
 Score: 157142.66  Generations: 1184
 Score: 157223.85  Generations: 2530
 Score: 156911.27  Generations: 1743
 Score: 157144.4  Generations: 3442
 Score: 157235.02  Generations: 3411
 Score: 157084.2  Generations: 6042
 Score: 157955.13  Generations: 32764
429312
 Score: 156799.44  Generations: 396
 Score: 157229.48  Generations: 411
 Score: 157230.27  Generations: 427
 Score: 157022.92  Generations: 454
 Score: 157243.41  Generations: 885
 Score: 156862.43  Generations: 573
 Score: 157234.33  Generations: 567
 Score: 157164.86  Generations: 1043
 Score: 157082.32  Generations: 653
 Score: 157043.96  Generations: 692
 Score: 157285.59  Generations: 823
 Score: 157319.17  Generations: 897
 Score: 157296.29  Generations: 1028
 Score: 157250.37  Generations: 1173
 Score: 157240.04  Generations: 1437
 Score: 157222.36  Generations: 1765
 Score: 157145.34  Generations: 2299
 Score: 157049.2  Generations: 5891
 Score: 157105.26  Generations: 10709
 Score: 158299.53  Generations: 31815
523123
 Score: 157099.01  Generations: 396
 Score: 156950.86  Generations: 745
 Score: 157211.57  Generations: 429
 Score: 157183.36  Generations: 454
 Score: 157225.76  Generations: 543
 Score: 157220.49  Generations: 520
 Score: 157276.34  Generations: 541
 Score: 157200.41  Generations: 606
 Score: 157091.95  Generations: 643
 Score: 157080.52  Generations: 1205
 Score: 157069.04  Generations: 810
 Score: 157082.11  Generations: 912
 Score: 157083.26  Generations: 1794
 Score: 157404.23  Generations: 1172
 Score: 157131.2  Generations: 1415
 Score: 157225.13  Generations: 1755
 Score: 157035.47  Generations: 2300
 Score: 156863.56  Generations: 3258
 Score: 156797.5  Generations: 10834
 Score: 157947.84  Generations: 32655
