123456
 Score: 625677.03  Generations: 38
 Score: 625489.86  Generations: 65
 Score: 625508.98  Generations: 35
 Score: 625622.73  Generations: 57
 Score: 625477.94  Generations: 34
 Score: 625477.94  Generations: 33
 Score: 625512.21  Generations: 32
 Score: 625503.57  Generations: 31
 Score: 625669.02  Generations: 42
 Score: 625559.56  Generations: 29
 Score: 625510.66  Generations: 29
 Score: 625646.93  Generations: 30
 Score: 625794.42  Generations: 30
 Score: 625618.76  Generations: 36
 Score: 625639.67  Generations: 29
 Score: 625606.02  Generations: 27
 Score: 625548.98  Generations: 24
 Score: 625277.2  Generations: 65
612372
 Score: 627058.7  Generations: 249
 Score: 626210.79  Generations: 187
 Score: 625707.1  Generations: 151
 Score: 625918.18  Generations: 138
 Score: 625543.55  Generations: 118
 Score: 625676.03  Generations: 170
 Score: 625357.47  Generations: 90
 Score: 625732.14  Generations: 133
 Score: 625718.57  Generations: 75
 Score: 625790.41  Generations: 77
 Score: 625480.14  Generations: 72
 Score: 625521.12  Generations: 71
 Score: 625560.55  Generations: 102
 Score: 625533.98  Generations: 63
 Score: 625501.76  Generations: 61
 Score: 625459.13  Generations: 82
 Score: 625459.13  Generations: 51
 Score: 625529.1  Generations: 58
 Score: 625388.5  Generations: 54
 Score: 625706.39  Generations: 45
 Score: 625524.02  Generations: 44
 Score: 625492.15  Generations: 41
 Score: 625644.26  Generations: 41
 Score: 625803.34  Generations: 38
 Score: 625799.22  Generations: 37
 Score: 625116.8  Generations: 42
 Score: 625359.62  Generations: 35
 Score: 625632.69  Generations: 50
 Score: 625503.25  Generations: 33
 Score: 625736.57  Generations: 57
 Score: 625730.93  Generations: 50
 Score: 625665.23  Generations: 30
 Score: 625477.14  Generations: 52
 Score: 625628.86  Generations: 30
 Score: 625520.23  Generations: 29
 Score: 625550.18  Generations: 27
 Score: 625550.18  Generations: 26
 Score: 625550.18  Generations: 27
 Score: 625370.86  Generations: 26
 Score: 625605.81  Generations: 26
 Score: 625591.11  Generations: 66
702938
 Score: 626668.15  Generations: 255
 Score: 625776.88  Generations: 191
 Score: 625534.53  Generations: 159
 Score: 625836.94  Generations: 137
 Score: 625314.86  Generations: 210
 Score: 625659.06  Generations: 182
 Score: 625479.92  Generations: 94
 Score: 625709.33  Generations: 86
 Score: 625572.51  Generations: 84
 Score: 625488.25  Generations: 75
 Score: 625493.01  Generations: 73
 Score: 625874.21  Generations: 71
 Score: 625549.39  Generations: 115
 Score: 625699.96  Generations: 58
 Score: 625785.92  Generations: 58
 Score: 625451.99  Generations: 97
 Score: 625538.39  Generations: 54
 Score: 625878.61  Generations: 50
 Score: 625870.93  Generations: 43
 Score: 625649.18  Generations: 46
 Score: 625466.9  Generations: 51
 Score: 625793.36  Generations: 42
 Score: 625683.77  Generations: 38
 Score: 625563.25  Generations: 61
 Score: 625696.93  Generations: 38
 Score: 625609.1  Generations: 37
 Score: 625381.0  Generations: 35
 Score: 625582.14  Generations: 60
 Score: 625681.44  Generations: 32
 Score: 625422.96  Generations: 33
 Score: 625507.05  Generations: 33
 Score: 625458.65  Generations: 48
 Score: 625735.52  Generations: 30
 Score: 625496.29  Generations: 30
 Score: 625537.31  Generations: 32
 Score: 625489.6  Generations: 28
 Score: 625489.6  Generations: 27
 Score: 625489.6  Generations: 27
 Score: 625489.6  Generations: 43
 Score: 625533.42  Generations: 25
 Score: 625541.49  Generations: 66
811239
 Score: 626413.72  Generations: 257
 Score: 625738.93  Generations: 222
 Score: 625722.49  Generations: 239
 Score: 625723.97  Generations: 134
 Score: 625642.16  Generations: 119
 Score: 625551.73  Generations: 181
 Score: 625369.96  Generations: 87
 Score: 625564.57  Generations: 88
 Score: 625575.91  Generations: 82
 Score: 625415.84  Generations: 72
 Score: 625469.82  Generations: 69
 Score: 625431.15  Generations: 117
 Score: 625727.64  Generations: 64
 Score: 625665.66  Generations: 58
 Score: 625489.47  Generations: 57
 Score: 625478.58  Generations: 52
 Score: 625526.39  Generations: 95
 Score: 625565.31  Generations: 50
 Score: 625171.45  Generations: 46
 Score: 625565.31  Generations: 44
 Score: 625565.31  Generations: 47
 Score: 625543.35  Generations: 41
 Score: 625353.27  Generations: 73
 Score: 625692.02  Generations: 39
 Score: 625785.05  Generations: 37
 Score: 625557.13  Generations: 35
 Score: 625460.75  Generations: 60
 Score: 625521.84  Generations: 33
 Score: 625711.0  Generations: 35
 Score: 625678.41  Generations: 33
 Score: 625457.32  Generations: 33
 Score: 625412.73  Generations: 31
 Score: 625608.51  Generations: 31
 Score: 625327.31  Generations: 52
 Score: 625496.57  Generations: 28
 Score: 625506.76  Generations: 28
 Score: 625517.3  Generations: 37
 Score: 625387.97  Generations: 26
 Score: 625365.28  Generations: 36
 Score: 625357.18  Generations: 25
 Score: 625655.08  Generations: 67
919203
 Score: 626941.52  Generations: 263
 Score: 625788.87  Generations: 206
 Score: 625641.28  Generations: 158
 Score: 625363.96  Generations: 139
 Score: 625831.4  Generations: 206
 Score: 625821.0  Generations: 198
 Score: 625870.59  Generations: 93
 Score: 625445.96  Generations: 87
 Score: 625356.17  Generations: 86
 Score: 625784.48  Generations: 76
 Score: 625566.21  Generations: 75
 Score: 625530.17  Generations: 76
 Score: 625563.52  Generations: 96
 Score: 625579.22  Generations: 60
 Score: 625757.37  Generations: 55
 Score: 625741.83  Generations: 55
 Score: 625681.57  Generations: 58
 Score: 625576.86  Generations: 76
 Score: 625579.91  Generations: 56
 Score: 625687.27  Generations: 48
 Score: 625645.42  Generations: 43
 Score: 625352.64  Generations: 42
 Score: 625519.87  Generations: 40
 Score: 625780.3  Generations: 39
 Score: 625493.88  Generations: 65
 Score: 625726.66  Generations: 35
 Score: 625785.36  Generations: 35
 Score: 625525.43  Generations: 60
 Score: 625531.52  Generations: 32
 Score: 625758.63  Generations: 32
 Score: 625360.76  Generations: 32
 Score: 625573.95  Generations: 51
 Score: 625685.24  Generations: 30
 Score: 625703.81  Generations: 29
 Score: 625715.79  Generations: 27
 Score: 625628.64  Generations: 48
 Score: 625726.98  Generations: 26
 Score: 625513.83  Generations: 26
 Score: 625488.76  Generations: 26
 Score: 625499.48  Generations: 24
 Score: 625478.63  Generations: 67
102938
 Score: 627122.02  Generations: 251
 Score: 626031.15  Generations: 182
 Score: 625578.46  Generations: 164
 Score: 625441.05  Generations: 145
 Score: 625514.99  Generations: 205
 Score: 625383.89  Generations: 193
 Score: 625634.83  Generations: 92
 Score: 625721.14  Generations: 88
 Score: 625753.95  Generations: 85
 Score: 625846.7  Generations: 80
 Score: 625542.02  Generations: 73
