123456
 Score: 79484.96  Generations: 55
 Score: 79460.74  Generations: 53
 Score: 79317.68  Generations: 50
 Score: 79745.09  Generations: 42
 Score: 79762.12  Generations: 44
 Score: 79637.15  Generations: 41
 Score: 79409.58  Generations: 37
 Score: 79506.06  Generations: 33
 Score: 79587.49  Generations: 29
 Score: 79500.38  Generations: 55
 Score: 79545.59  Generations: 49
 Score: 79486.48  Generations: 47
 Score: 79401.15  Generations: 47
 Score: 79238.62  Generations: 43
919203
 Score: 79535.1  Generations: 866
 Score: 79308.32  Generations: 368
 Score: 79477.92  Generations: 235
 Score: 79035.72  Generations: 200
 Score: 79438.61  Generations: 138
 Score: 79535.1  Generations: 136
 Score: 79324.88  Generations: 104
 Score: 79514.94  Generations: 99
 Score: 79497.41  Generations: 79
 Score: 79535.1  Generations: 77
 Score: 79535.1  Generations: 61
 Score: 79535.1  Generations: 55
 Score: 79535.1  Generations: 52
 Score: 79535.1  Generations: 44
 Score: 79333.34  Generations: 42
 Score: 79535.1  Generations: 37
 Score: 79490.01  Generations: 36
 Score: 79535.1  Generations: 33
 Score: 79385.93  Generations: 33
 Score: 79430.27  Generations: 32
 Score: 79444.38  Generations: 50
 Score: 79535.1  Generations: 50
 Score: 79340.45  Generations: 45
 Score: 79535.1  Generations: 45
 Score: 79535.1  Generations: 42
102938
 Score: 79607.85  Generations: 725
 Score: 79540.97  Generations: 359
 Score: 79595.7  Generations: 245
 Score: 79404.21  Generations: 175
 Score: 79294.52  Generations: 139
 Score: 79799.61  Generations: 120
 Score: 79625.97  Generations: 98
 Score: 79782.89  Generations: 89
 Score: 79478.2  Generations: 75
 Score: 79391.34  Generations: 70
 Score: 79722.2  Generations: 59
 Score: 79652.48  Generations: 58
 Score: 79518.74  Generations: 52
 Score: 79482.81  Generations: 46
 Score: 79659.55  Generations: 43
 Score: 79642.45  Generations: 40
 Score: 79469.61  Generations: 38
 Score: 79644.88  Generations: 35
 Score: 79786.29  Generations: 31
 Score: 79530.69  Generations: 31
 Score: 79455.82  Generations: 47
 Score: 79585.21  Generations: 46
 Score: 79134.36  Generations: 44
 Score: 79409.19  Generations: 45
 Score: 79615.91  Generations: 40
112930
 Score: 79236.75  Generations: 738
 Score: 79385.29  Generations: 360
 Score: 79423.77  Generations: 242
 Score: 79457.46  Generations: 175
 Score: 79503.0  Generations: 138
 Score: 79580.89  Generations: 123
 Score: 79480.02  Generations: 109
 Score: 79400.56  Generations: 85
 Score: 79532.12  Generations: 73
 Score: 79759.46  Generations: 65
 Score: 79612.95  Generations: 61
 Score: 79213.09  Generations: 55
 Score: 79434.91  Generations: 51
 Score: 79608.83  Generations: 48
 Score: 79465.56  Generations: 45
 Score: 79588.23  Generations: 40
 Score: 79492.1  Generations: 38
 Score: 79564.64  Generations: 35
 Score: 79629.53  Generations: 32
 Score: 79370.07  Generations: 31
 Score: 79595.05  Generations: 51
 Score: 79642.48  Generations: 49
 Score: 79450.27  Generations: 44
 Score: 79549.61  Generations: 46
 Score: 79603.3  Generations: 40
123290
 Score: 79627.95  Generations: 715
 Score: 79678.86  Generations: 348
 Score: 79439.27  Generations: 238
 Score: 79587.36  Generations: 190
 Score: 79565.55  Generations: 144
 Score: 79601.22  Generations: 127
 Score: 79570.21  Generations: 100
 Score: 79379.43  Generations: 82
 Score: 79592.09  Generations: 81
 Score: 79486.41  Generations: 66
 Score: 79447.85  Generations: 61
 Score: 79511.9  Generations: 53
 Score: 79617.31  Generations: 50
 Score: 79639.85  Generations: 44
 Score: 79441.67  Generations: 44
 Score: 79546.14  Generations: 39
 Score: 79328.52  Generations: 37
 Score: 79495.7  Generations: 35
 Score: 79465.44  Generations: 31
 Score: 79516.9  Generations: 31
 Score: 79432.2  Generations: 49
 Score: 79619.09  Generations: 49
 Score: 79592.54  Generations: 43
 Score: 79592.27  Generations: 44
 Score: 79596.96  Generations: 42
139248
 Score: 79619.05  Generations: 734
 Score: 79345.92  Generations: 367
 Score: 79397.96  Generations: 264
